@0 att(0, US)
@6402 att(1, BR)
@6674 att(2, AT)
@7770 att(2, DE)
@13359 att(2, US)
@22298 att(3, NO)
@25934 att(4, NO)
@28096 att(2, AU)
@35332 att(5, NO)
@37817 att(2, AU)
@38477 att(2, US)
@41412 att(2, PA)
@42528 att(2, US)
@43625 att(6, BR)
@45184 att(2, CH)
@48435 att(2, HK)
@54300 att(7, US)
@56748 att(8, US)
@59326 att(2, AU)
@59645 att(2, PA)
@59837 att(2, JP)
@68824 att(2, CA)
@87241 att(9, US)
@94843 att(10, NO)
@100713 att(2, AU)
@103376 att(2, US)
@107470 att(11, NO)
@109387 att(2, AU)
@109941 att(12, PL)
@111319 att(2, US)
@116478 att(8, US)
@116939 att(2, AU)
@120212 att(5, NO)
@120733 att(2, RO)
@121488 att(13, NO)
@121865 att(14, ID)
@122890 att(15, NO)
@124274 att(3, NO)
@126415 att(16, NO)
@128122 att(2, IT)
@131645 att(17, NO)
@138025 att(2, BR)
@142002 att(18, NO)
@146336 att(19, US)
@150126 att(2, AU)
@151594 att(20, PL)
@161923 att(2, US)
@162717 att(21, GB)
@162918 att(22, US)
@166935 att(23, US)
@176465 att(24, US)
@180451 att(24, US)
@183029 att(2, NL)
@190100 att(2, US)
@201316 att(2, US)
@211456 att(2, PL)
@212035 att(2, US)
@218896 att(2, US)
@220242 att(25, GB)
@223037 att(2, US)
@228499 att(2, AU)
@231976 att(2, BR)
@232172 att(8, US)
@236163 att(2, UA)
@240074 att(2, PL)
@241303 att(26, AU)
@241378 att(2, BD)
@243059 att(27, US)
@258598 att(28, ES)
@264934 att(29, NO)
@266353 att(2, ID)
@271368 att(5, RO)
@271794 att(30, US)
@273882 att(2, ZA)
@281710 att(2, SE)
@282133 att(2, US)
@286779 att(2, AR)
@293518 att(2, IN)
@298130 att(31, NO)
@299433 att(2, AT)
@304679 att(32, US)
@307415 att(2, TR)
@310731 att(33, US)
@313615 att(1, BR)
@317189 att(34, NO)
@322936 att(2, JP)
@323914 att(23, US)
@325862 att(2, DE)
@336201 att(35, GI)
@341460 att(2, HK)
@341951 att(2, US)
@349103 att(2, CH)
@351019 att(2, US)
@352149 att(36, NO)
@356858 att(37, PL)
@365757 att(2, CA)
@368117 att(2, US)
@378317 att(38, US)
@381021 att(2, GB)
@383221 att(39, US)
@384193 att(40, GB)
@401771 att(41, NO)
@403816 att(2, US)
@408123 att(42, NO)
@421467 att(2, US)
@437084 att(2, IT)
@438336 att(2, ID)
@439796 att(43, GB)
@442644 att(44, UA)
@446977 att(45, US)
@449780 att(46, US)
@450331 att(2, AU)
@452340 att(47, US)
@457234 att(2, US)
@460205 att(48, US)
@462971 att(2, US)
@472529 att(2, GB)
@472689 att(47, US)
@478005 att(2, AU)
@480592 att(49, NO)
@487232 att(50, US)
@489653 att(2, NL)
@491942 att(51, GB)
@495613 att(52, NO)
@510371 att(2, AU)
@511336 att(53, NO)
@512552 att(54, US)
@513494 att(2, BE)
@515259 att(55, NO)
@518898 att(2, BR)
@522853 att(2, US)
@523786 att(38, US)
@525031 att(2, BE)
@528919 att(2, US)
@531405 att(37, PL)
@536967 att(35, GI)
@541983 att(56, NO)
@543795 att(2, BE)
@545896 att(57, US)
@547678 att(2, BD)
@551750 att(2, US)
@554093 att(2, AG)
@558134 att(2, BE)
@563215 att(58, AU)
@564056 att(2, BE)
@564582 att(2, GI)
@576909 att(2, ZA)
@580336 att(2, NO)
@582133 att(2, US)
@583329 att(2, US)
@583928 att(2, SE)
