@0 attempt(0, AU)
@10922 attempt(0, AU)
@16184 attempt(0, US)
@17766 attempt(1, US)
@25376 attempt(2, NO)
@26570 attempt(0, BR)
@26682 attempt(3, DE)
@27163 attempt(0, NO)
@29551 attempt(4, NO)
@32895 attempt(0, US)
@35414 attempt(0, US)
@37587 attempt(5, NO)
@37954 attempt(0, US)
@39879 attempt(0, AU)
@40576 attempt(0, BR)
@44531 attempt(6, NO)
@46976 attempt(7, NO)
@47600 attempt(0, BD)
@48447 attempt(0, BR)
@49211 attempt(0, US)
@49948 attempt(0, NO)
@51112 attempt(8, NO)
@54086 attempt(0, AU)
@57494 attempt(0, AU)
@71423 attempt(0, ID)
@72705 attempt(9, NO)
@74130 attempt(0, BR)
@78654 attempt(0, PL)
@81408 attempt(0, US)
@82883 attempt(5, NO)
@83377 attempt(0, ZA)
@87484 attempt(0, BR)
@90734 attempt(0, AR)
@93536 attempt(0, US)
@101488 attempt(0, US)
@103894 attempt(0, SE)
@105186 attempt(0, NL)
@105928 attempt(0, US)
@106714 attempt(10, NO)
@111169 attempt(7, NO)
@115041 attempt(0, AT)
@115773 attempt(11, BR)
@116210 attempt(0, BR)
@118514 attempt(6, NO)
@121384 attempt(0, US)
@123180 attempt(12, US)
@123239 attempt(3, DE)
@123912 attempt(5, NO)
@126534 attempt(0, US)
@127554 attempt(13, NO)
@130905 attempt(14, NO)
@137697 attempt(15, NO)
@139414 attempt(0, PL)
@139431 attempt(0, BR)
@143233 attempt(0, DE)
@144519 attempt(0, JP)
@144725 attempt(0, NO)
@145766 attempt(0, HK)
@150405 attempt(16, NO)
@150601 attempt(17, US)
@151344 attempt(0, US)
@151692 attempt(18, NO)
@152930 attempt(0, BR)
@154687 attempt(19, NO)
@154959 attempt(0, CH)
@157082 attempt(20, US)
@160654 attempt(0, UA)
@169735 attempt(21, US)
@172282 attempt(22, US)
@173679 attempt(3, DE)
@181358 attempt(0, CA)
@189571 attempt(0, GB)
@195056 attempt(23, US)
@210086 attempt(24, NO)
@214546 attempt(0, US)
@221825 attempt(23, US)
@224627 attempt(20, US)
@225023 attempt(0, NO)
@227018 attempt(25, US)
@227427 attempt(26, NO)
@228531 attempt(27, AU)
@239659 attempt(0, IT)
@251545 attempt(28, GB)
@256204 attempt(0, US)
@259977 attempt(0, NO)
@261697 attempt(3, DE)
@265092 attempt(29, NO)
@266689 attempt(0, NO)
@267717 attempt(0, AU)
@270488 attempt(0, NO)
@270994 attempt(0, US)
